school_name
INSEAD
Harvard Business School
Stanford
Massachusetts Institute of Technology
Harvard University
University of Cambridge
London Business School
Technion
The Wharton School
MIT School
MIT Sloan
University of Oxford
Carengie mellon
Berekely
Caltech
Georgia tech
UC Berkley
UCB
Tel Aviv University
The Hebrew University of Jerusalem
Technion - Israel Institute of Technology
Weizmann Institute of Science
Ben-Gurion University of the Negev
Bar-Ilan University
